MATERIAL_NO,MDM_MATCH,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,
1000183,No,,2/BX78,BELT,V,BELT|V
1000184,No,GOODYEAR,2/BX100,BELT,V,BELT|V
1000185,No,BROWNING,2/BX105,BELT,V,BELT|V
1000186,No,,3/5V750,BELT,V,BELT|V
1000187,No,GATES,5/5V1400,BELT,V,BELT|V
1000190,No,,5/5VX1180,BELT,V,BELT|V
1000437,No,,2/5VX950,BELT,V,BELT|V
1004618,No,GATES,4/BX112,BELT,V,BELT|V
1004630,Yes,GATES,5VX1400,BELT,V,
1004632,Yes,GATES,BX144,BELT,V,
1004634,Yes,GATES,BX95,BELT,V,
1004636,Yes,GATES,BX90,BELT,V,
1004638,Yes,GOODYEAR,BX100,BELT,V,
1004653,Yes,GATES,5VX1500,BELT,V,
1004658,Yes,GATES,3500-14M-37,BELT,TIMING,
1004666,No,GATES,23/5VX2000,BELT,V,BELT|V
1004674,No,GATES,4/5VX2000,BELT,V,BELT|V
1004675,No,GATES,4/8V2650,BELT,V,BELT|V
1004683,No,GATES,5/8V2240,BELT,V,BELT|V
1004706,Yes,GATES,3136-14M-68,BELT,TIMING,
1004735,No,GATES,3/3VX1180,BELT,V,BELT|V
1004802,No,GATES,5/3VX1250,BELT,V,BELT|V
1004809,No,GATES,2/BX66,BELT,V,BELT|V
1004810,No,GATES,3/B58,BELT,V,BELT|V
1004823,No,GATES,4/5V1500,BELT,V,BELT|V
1004826,Yes,GATES,AX53,BELT,V,
1004855,No,GATES,6/8V2500,BELT,V,BELT|V
1004865,No,GATES,6600-20M-340,BELT,TIMING,BELT|TIMING
1005161,No,GATES,2/5V1800,BELT,V,BELT|V
1005197,No,GATES,4/BP144,BELT,V,BELT|V
1005677,No,GATES,2/BX42,BELT,V,BELT|V
1005678,Yes,GATES,3VX750,BELT,V,
1006213,Yes,GATES,BX35,BELT,V,
1006851,New,GATES,5VX1600,BELT,V,BELT|V
1007224,New,GATES,BX73,BELT,V,BELT|V
1007362,No,GATES,3/B61,BELT,V,BELT|V
1008565,No,STERLING BLOWER,100000043,BELT,TIMING,BELT|TIMING
1008856,No,GATES,3/8V2120,BELT,V,BELT|V
1020250,No,GATES,3/BX136,BELT,V,BELT|V
1020251,Yes,GOODYEAR,3500-14M-85,BELT,TIMING,
1020252,No,HUDSON PRODUCTS,5/BX158,BELT,V,BELT|V
1020254,No,,3850-14MGT-115,BELT,TIMING,BELT|TIMING
1020276,No,TRANE,4L610,BELT,V,BELT|V
1025982,Yes,GATES,A36,BELT,V,
1025983,No,TB WOODS,A46,BELT,V,BELT|V
1025984,Yes,DAYCO PRODUCTS,AX37,BELT,V,
1025985,No,TB WOODS,A38,BELT,V,BELT|V
1025986,Yes,GOODYEAR,A42,BELT,V,
1025987,No,GATES,1440,BELT,V,BELT|V
1025988,No,TB WOODS,A46,BELT,V,BELT|V
1025989,Yes,GOODYEAR,A53,BELT,V,
1025990,No,TB WOODS,A55,BELT,V,BELT|V
1025991,Yes,GOODRICH B F,4L240,BELT,V,
1025992,Yes,GATES,2260,BELT,V,
1025993,Yes,GATES,2270,BELT,V,
1025994,Yes,GATES,2300,BELT,V,
1025995,Yes,GATES,2370,BELT,V,
1025997,Yes,GATES,B51,BELT,V,
1025998,Yes,GOODYEAR,B60,BELT,V,
1025999,No,TB WOODS,BP144,BELT,V,BELT|V
1026000,No,GATES,4/B136,BELT,V,BELT|V
1026002,No,GOODYEAR,BP158,BELT,V,BELT|V
1026005,No,GOODYEAR,C240,BELT,V,BELT|V
1026006,Yes,GOODYEAR,1922V484,BELT,V,
1026007,New,GOODYEAR,1922V403,BELT,V,BELT|V
1026008,Yes,GATES,2230V275,BELT,V,
1026009,No,GOODRICH B F,2830V2367,BELT,V,BELT|V
1026010,No,GOODYEAR,14-2,BELT,V,BELT|V
1026013,Yes,GOODYEAR,3226V545,BELT,V,
1026014,Yes,GOODYEAR,322L050,BELT,TIMING,
1026015,No,GOODYEAR,3/3V710,BELT,V,BELT|V
1026016,No,TB WOODS,3V950,BELT,V,BELT|V
1026018,No,GOODYEAR,5VX1250M,BELT,V,BELT|V
