MATERIAL_NO,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,DomainName
1001264,AMERICAN LEWA INC,429-201-78,DISC,,Grainger
1001278,AMERICAN LEWA INC,767500000,DISC,,MotionIndustries
1002870,HOFFMAN AIR & FILTRATION SYSTE,20007588,GASKET,,Grainger
1004783,KRYTOX,GLP227,GREASE,,MotionIndustries
1005334,WORTHINGTON,390064,GASKET,,MotionIndustries
1005373,WORTHINGTON,390068,GASKET,,Grainger
1005598,GOULDS PUMP,75704-5130,GASKET,,
1005751,LABOUR,BCGL,GASKET,,
1005897,DURIRON/FLOWSERVE PUMP,CY50710A,CARRIER,,
1006716,FARREL CORP,251763-060-0,RING,,
1006938,SHARPLES,PC107950001,GASKET,,
1006957,SHARPLES,SYMBOL11AB171,ASSEMBLY,,
1006992,JOHN CRANE,D-3437-131-0550,adapter,,
1007122,WORTHINGTON,390066-00,GASKET,,
1007470,BWIP/FLOWSERVE PUMP GROUP,SK849H1756A,BUSHING,,
1007475,BWIP/FLOWSERVE SEAL GROUP,4R3907GT,GASKET,,
1007480,BWIP/FLOWSERVE SEAL GROUP,668771GT,GASKET,,
1007481,BWIP/FLOWSERVE SEAL GROUP,3R0546GT,CUP,,
1007487,BWIP/FLOWSERVE PUMP GROUP,668783SL,FACE,,
1007495,BWIP/FLOWSERVE PUMP GROUP,668799SL,FACE,,
1007499,BWIP/FLOWSERVE SEAL GROUP,4R37227GR,GASKET,,
1007502,BWIP/FLOWSERVE PUMP GROUP,670754QF,GASKET,,
1007503,DEAN PUMP DIV,158038KY,SLEEVE,,
1007504,BWIP/FLOWSERVE PUMP GROUP,671010QF,GASKET,,
1007505,BWIP/FLOWSERVE PUMP GROUP,667228DB,GASKET,,
1007509,BWIP/FLOWSERVE PUMP GROUP,668805SL,FACE,,
1007520,BWIP/FLOWSERVE PUMP GROUP,668825LV,FACE,,
1007539,BWIP/FLOWSERVE PUMP GROUP,4375X3375X006,GASKET,,
1007542,BWIP/FLOWSERVE PUMP GROUP,668841SL,FACE,,
1007545,BWIP/FLOWSERVE PUMP GROUP,450X3750062GR,GASKET,,
1007560,BWIP/FLOWSERVE SEAL GROUP,3R17165DB,SLEEVE,,
1007561,BWIP/FLOWSERVE SEAL GROUP,3R15083DB,SLEEVE,,
1007570,BWIP/FLOWSERVE PUMP GROUP,668871SL,FACE,,
1007629,BWIP/FLOWSERVE SEAL GROUP,668788LV,FACE,,
1007633,BWIP/FLOWSERVE SEAL GROUP,154755GE,FACE,,
1008214,DOW CORNING,34512,GREASE,,
1008460,SWEPCO,NLG12,GREASE,,
1008470,MOBIL OIL CORP,MOBILUX EP111,GREASE,,
1008838,FARREL CORP,251763-060-0,RING,,
1009058,MOTION IND,12C5C-12MP-12FJX-60,HOSE,,
1009059,MOTION IND,16C5C-16FJX-16FJX-67,HOSE,,
1017700,WORTHINGTON PUMP/DRESSER RAND,390065,GASKET,,
1020235,HOWDEN BUFFALO INC,132155,COLLAR,,
1020240,DODGE,132631,GROMMET,,
1020244,DODGE,133578,BAND,,
1020246,DODGE,130059,RING,,
1020307,WESTINGHOUSE ELECTRIC,498D-772-G-004,SLEEVE,,
1020319,WESTINGHOUSE ELECTRIC,S21B6065G27,RING,,
