,MATERIAL_NO,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,Keywords,Search_URL,URL
0,1001264,AMERICAN LEWA INC,429-201-78,DISC,,AMERICAN LEWA INC+429-201-78+DISC,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=AMERICAN LEWA INC+429-201-78+DISC'},https://www.grainger.com/search?searchBar=true&searchQuery=AMERICAN LEWA INC+429-201-78+DISC
1,1001278,AMERICAN LEWA INC,767500000,DISC,,AMERICAN LEWA INC+767500000+DISC,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=AMERICAN LEWA INC+767500000+DISC'},https://www.motionindustries.com/productCatalogSearch.jsp?q=AMERICAN LEWA INC+767500000+DISC
2,1002870,HOFFMAN AIR & FILTRATION SYSTE,20007588,GASKET,,HOFFMAN AIR & FILTRATION SYSTE+20007588+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=HOFFMAN AIR & FILTRATION SYSTE+20007588+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=HOFFMAN AIR & FILTRATION SYSTE+20007588+GASKET
3,1004783,KRYTOX,GLP227,GREASE,,KRYTOX+GLP227+GREASE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=KRYTOX+GLP227+GREASE'},https://www.grainger.com/search?searchBar=true&searchQuery=KRYTOX+GLP227+GREASE
4,1005334,WORTHINGTON,390064,GASKET,,WORTHINGTON+390064+GASKET,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=WORTHINGTON+390064+GASKET'},https://www.grainger.com/search?searchBar=true&searchQuery=WORTHINGTON+390064+GASKET
5,1005373,WORTHINGTON,390068,GASKET,,WORTHINGTON+390068+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=WORTHINGTON+390068+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=WORTHINGTON+390068+GASKET
6,1005598,GOULDS PUMP,75704-5130,GASKET,,GOULDS PUMP+75704-5130+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=GOULDS PUMP+75704-5130+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=GOULDS PUMP+75704-5130+GASKET
7,1005751,LABOUR,BCGL,GASKET,,LABOUR+BCGL+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=LABOUR+BCGL+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=LABOUR+BCGL+GASKET
8,1005897,DURIRON/FLOWSERVE PUMP,CY50710A,CARRIER,,DURIRON%2FLOWSERVE PUMP+CY50710A+CARRIER,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=DURIRON%2FLOWSERVE PUMP+CY50710A+CARRIER'},https://www.grainger.com/search?searchBar=true&searchQuery=DURIRON%2FLOWSERVE PUMP+CY50710A+CARRIER
9,1006716,FARREL CORP,251763-060-0,RING,,FARREL CORP+251763-060-0+RING,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=FARREL CORP+251763-060-0+RING'},https://www.grainger.com/search?searchBar=true&searchQuery=FARREL CORP+251763-060-0+RING
10,1006938,SHARPLES,PC107950001,GASKET,,SHARPLES+PC107950001+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=SHARPLES+PC107950001+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=SHARPLES+PC107950001+GASKET
11,1006957,SHARPLES,SYMBOL11AB171,ASSEMBLY,,SHARPLES+SYMBOL11AB171+ASSEMBLY,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=SHARPLES+SYMBOL11AB171+ASSEMBLY'},https://www.grainger.com/search?searchBar=true&searchQuery=SHARPLES+SYMBOL11AB171+ASSEMBLY
12,1006992,JOHN CRANE,D-3437-131-0550,adapter,,JOHN CRANE+D-3437-131-0550+adapter,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=JOHN CRANE+D-3437-131-0550+adapter'},https://www.grainger.com/search?searchBar=true&searchQuery=JOHN CRANE+D-3437-131-0550+adapter
13,1007122,WORTHINGTON,390066-00,GASKET,,WORTHINGTON+390066-00+GASKET,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=WORTHINGTON+390066-00+GASKET'},https://www.grainger.com/search?searchBar=true&searchQuery=WORTHINGTON+390066-00+GASKET
14,1007470,BWIP/FLOWSERVE PUMP GROUP,SK849H1756A,BUSHING,,BWIP%2FLOWSERVE PUMP GROUP+SK849H1756A+BUSHING,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+SK849H1756A+BUSHING'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+SK849H1756A+BUSHING
15,1007475,BWIP/FLOWSERVE SEAL GROUP,4R3907GT,GASKET,,BWIP%2FLOWSERVE SEAL GROUP+4R3907GT+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+4R3907GT+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+4R3907GT+GASKET
16,1007480,BWIP/FLOWSERVE SEAL GROUP,668771GT,GASKET,,BWIP%2FLOWSERVE SEAL GROUP+668771GT+GASKET,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+668771GT+GASKET'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+668771GT+GASKET
17,1007481,BWIP/FLOWSERVE SEAL GROUP,3R0546GT,CUP,,BWIP%2FLOWSERVE SEAL GROUP+3R0546GT+CUP,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+3R0546GT+CUP'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+3R0546GT+CUP
